r_def,cve_ent,con,upm,n_pro_viv,v_sel,n_hog,h_mud,n_ren,c_res,sex,eda,n_hij,e_con,ur,zona,pos_ocu,seg_soc,rama_est1,ambito2,tue1,pre_asa,niv_ins,anios_esc,hrsocup,ingocup,imssissste,emp_ppal,p6c,p6d
0,9,40292,900803,77,53,1,0,1,1,2,50,2,6,1,2,1,1,3,4,1,1,2,6,60,9000,1,2, ,1
0,9,40296,902862,32,52,1,0,1,1,1,36, ,5,1,2,3,2,2,2,3,0,4,13,34,12000,4,1, ,6
0,9,40297,903446,2,54,1,0,1,1,1,55, ,5,1,2,3,2,3,3,3,0,2,8,59,5160,4,1, ,6
0,9,40297,903446,2,54,1,0,2,1,2,55,2,5,1,2,3,2,3,3,3,0,3,12,59,5160,4,1, ,6
0,9,40306,906412,41,53,1,0,4,1,2,27,0,6,1,2,1,1,3,0,1,1,4,16,40,16000,1,2, ,1
0,9,40306,906412,55,54,1,0,1,1,2,51,1,6,1,2,1,1,3,5,2,1,3,12,0,14000,1,2, ,1
0,9,40312,909500,66,53,1,0,1,1,1,63, ,4,1,2,1,1,3,3,1,1,2,6,30,8600,1,2, ,1
0,9,40321,913061,163,51,1,0,3,1,1,25, ,6,1,2,1,2,3,5,1,1,3,10,62,12900,4,1, ,6
0,9,40336,920301,64,52,1,0,5,1,1,20, ,6,1,2,1,2,3,3,1,2,3,9,27,5160,4,1, ,6
0,9,40337,920736,88,55,1,0,2,1,2,42,4,5,1,2,3,2,3,2,3,0,4,12,27,15050,4,1, ,6
0,9,40363,915142,10,51,1,0,1,1,1,37, ,5,1,2,1,1,3,7,2,2,4,17,48,21000,2,2, ,3
0,9,40368,917297,26,53,1,0,1,1,2,51,3,5,1,2,3,2,3,2,3,0,3,9,32,5160,4,1, ,6
0,9,40378,921228,89,55,1,0,1,1,2,39,0,6,1,2,1,1,3,5,1,1,4,16,40,60000,1,2, ,1
0,9,40395,907040,110,5,1,0,1,1,1,37, ,1,1,2,1,2,2,3,3,2,3,9,51,10750,4,1, ,6
0,9,40401,909231,25,1,1,0,1,1,1,72, ,1,1,2,3,2,3,2,3,0,3,9,30,10750,4,1, ,6
0,9,40408,913192,111,2,1,0,1,1,2,55,2,6,1,2,1,1,2,6,1,1,3,9,45,5000,1,2, ,1
0,9,40410,915509,151,5,1,0,1,1,2,45,1,2,1,2,1,2,3,8,3,1,3,9,16,3010,4,1, ,6
0,9,40430,905243,500,5,1,0,1,1,2,50,2,4,1,2,1,2,3,8,3,2,4,12,36,5160,4,1, ,6
0,9,40437,907917,66,4,1,0,1,1,1,73, ,5,1,2,3,2,2,2,3,0,3,9,12,1935,4,1, ,6
0,9,40449,912729,63,1,1,0,2,1,1,24, ,6,1,2,1,1,3,5,1,1,4,12,55,13000,1,2, ,1
0,9,40465,920384,71,1,1,0,2,1,1,51, ,6,1,2,1,1,3,6,2,1,4,14,36,18000,1,2, ,1
0,9,40467,921041,61,3,1,0,3,1,2,32,2,3,1,2,1,1,2,6,1,1,4,13,40,16000,1,2, ,1
0,9,40471,921322,57,2,1,0,7,1,2,17,1,1,1,2,1,2,3,3,3,1,3,9,30,5375,4,1, ,6
0,9,40472,913965,51,1,1,0,2,1,2,43,1,5,1,2,3,2,3,2,3,0,4,16,56,10000,4,1, ,6
0,9,40498,917646,48,2,1,1,1,1,1,32, ,1,1,2,1,1,3,5,2,1,4,17,72,24000,1,2, ,1
0,9,40514,915054,85,55,1,0,3,1,1,17, ,6,1,2,1,2,4,8,4,2,3,10,10,5590,4,1, ,6
0,9,40518,903864,17,52,1,0,1,1,1,44, ,5,1,2,3,2,3,2,3,0,3,9,55,10000,4,1, ,6
